latitude,longitude
40.7973671,-73.9349997
40.7973452,-73.9349492
40.796345,-73.9330829
40.7960775,-73.9309451
40.7276409,-73.9879134
40.7283354,-73.9882632
40.7974648,-73.937824
40.7980136,-73.9375851
40.7084035,-73.9983589
40.7124601,-73.9938571
40.8178334,-73.9431592
40.817474,-73.9434738
40.8161467,-73.9592302
40.8180315,-73.9570974
40.8158384,-73.9569001
40.7997924,-73.9433552
40.795701,-73.9671847
40.7950259,-73.9674631
40.7301325,-73.9829049
40.7245466,-73.9805252
40.8041504,-73.9619394
40.8176372,-73.9596483
40.818853,-73.959308
40.818735,-73.9593948
40.8173901,-73.959298
40.8144153,-73.960893
40.7978849,-73.93328
40.808276,-73.9374455
40.80832,-73.9375538
40.8226131,-73.9517543
40.8170715,-73.9516933
40.8166607,-73.947622
40.8032011,-73.9551709
40.7439112,-73.9830169
40.8131258,-73.954579
40.8152199,-73.9543536
40.7429009,-73.9817468
40.8026394,-73.9577394
40.801604,-73.9560497
40.8022488,-73.9556339
40.810855,-73.9597283
40.8226921,-73.9572353
40.8206997,-73.9579809
40.8110304,-73.9516905
40.811409,-73.9514445
40.8091807,-73.9524793
40.8144683,-73.9489171
40.8040135,-73.9552571
40.8182512,-73.9572526
40.7941637,-73.939492
40.8077363,-73.9658169
40.8077041,-73.952567
40.8059047,-73.9554436
40.8077898,-73.9540625
40.8106329,-73.946655
40.8006883,-73.9589362
40.8126243,-73.9500528
40.8037721,-73.9554342
40.8050485,-73.955744
40.8062676,-73.9570653
40.8222512,-73.9463783
40.8069376,-73.9659763
40.8253256,-73.9533855
40.8150867,-73.9446933
40.8156829,-73.9461054
40.8150825,-73.9539888
40.8138174,-73.954481
40.8154229,-73.9542089
40.8100541,-73.9537683
40.8178294,-73.9599228
40.7895157,-73.9720269
40.8091252,-73.9394495
40.8089219,-73.9389801
40.8081785,-73.9399055
40.8091472,-73.9395073
40.7749698,-73.9776437
40.8131015,-73.9556086
40.8129555,-73.9544491
40.8115902,-73.9514986
40.7713761,-73.9557917
40.8018845,-73.9656863
40.8112824,-73.9445845
40.815789,-73.944122
40.8049772,-73.95595
40.8021219,-73.961377
40.8174575,-73.9434413
40.8058498,-73.95531
40.8125343,-73.9396812
40.7973682,-73.9320598
40.8046305,-73.9473136
40.8043936,-73.9348954
40.8142866,-73.9477503
40.8120603,-73.941376
40.8115388,-73.9413114
40.7998418,-73.9380963
40.7979327,-73.9353423
40.7980839,-73.9356997
40.7984191,-73.9363748
40.801032,-73.9360725
40.7989816,-73.9359734
40.7994594,-73.9363413
40.8018959,-73.9349989
40.7995828,-73.9362509
40.7995197,-73.9362979
40.8182538,-73.944156
40.8182373,-73.9441199
40.8178587,-73.9443948
40.8033669,-73.9513637
40.8031636,-73.9508835
40.8013634,-73.9515747
40.8079881,-73.9433193
40.8107542,-73.9421502
40.8099552,-73.9414284
40.8038487,-73.9372907
40.8069945,-73.9490492
40.7977343,-73.9338075
40.8220124,-73.9407241
40.7979843,-73.9393694
40.7979486,-73.9392827
40.7978919,-73.9411103
40.8079107,-73.9543694
40.80677,-73.965579
40.791614,-73.9513651
40.7915783,-73.951282
40.8008509,-73.9534894
40.798504,-73.9359377
40.8002111,-73.935788
40.8115573,-73.9515492
40.8114915,-73.9517551
40.7950093,-73.9347673
40.8104736,-73.9465359
40.8105725,-73.9466984
40.8016122,-73.9494254
