borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
MN,2007,27,110.0,9.0,10030.0,32.0,103 WEST 138 STREET,NY,V1,11,,ABYSSINIAN DEVELOPMENT CORP,2498,0,25.0,99.92,5,232650,0,,,1,1000883.0,236742.0,40.8164621,-73.9399089,6a,,New York
MN,2007,22,110.0,9.0,10030.0,32.0,113 WEST 138 STREET,NY,V1,11,,"ODELL CLARK PLACE,",2598,0,26.0,99.92,5,241650,0,,,1,1000764.0,236808.0,40.8166435,-73.9403387,6a,,New York
MN,1435,1,108.0,5.0,10065.0,19.0,1140 2 AVENUE,NY,V1,11,,"1711 FIRST AVENUE, LLC",3000,0,40.0,75.0,3,535950,0,,,1,994353.0,216618.0,40.761237,-73.9635305,8c,,New York
MN,863,1,105.0,4.0,10016.0,14.0,335 5 AVENUE,NY,V1,11,,J.P.K. ASSOCIATES LLC,5628,0,59.25,95.0,3,3536550,0,,,1,988501.0,211716.0,40.747787,-73.984658,8d,,New York
MN,2007,16,110.0,9.0,10030.0,32.0,123 WEST 138 STREET,NY,V1,11,,THE LAMB'S CENTER FOR URBAN MINISTRY,2598,0,26.0,99.92,5,241650,0,,,1,1000650.0,236871.0,40.8168166,-73.9407504,6a,,New York
MN,2030,38,110.0,9.0,10039.0,32.0,210 WEST 145 STREET,NY,V1,11,,GOSPEL SPREADING CHUR,12490,0,125.0,99.92,5,1376100,0,,,1,1000857.0,238651.0,40.8217018,-73.9399981,6a,,New York
MN,30,4,101.0,1.0,10004.0,1.0,78 PEARL STREET,NY,V1,11,,SHAA ASSOCIATES LLC,2291,0,29.5,77.67,5,2542500,0,,,1,981405.0,195674.0,40.7037562,-74.0102609,12b,,New York
MN,25,7,101.0,1.0,10004.0,1.0,43 BROAD STREET,NY,V1,11,,MADISON 45 BROAD DEVELOPMENT LLC,13202,0,63.44,128.12,5,14321250,2012,,,1,981208.0,196324.0,40.7055402,-74.0109717,12b,,New York
MN,1947,41,110.0,9.0,10027.0,28.0,310 WEST 121 STREET,NY,V1,11,,MLMG ASSOCIATES LLC,2725,0,27.0,100.92,5,232200,0,,,1,996967.0,233580.0,40.8077898,-73.9540625,6a,,New York
MN,1948,24,110.0,9.0,10027.0,28.0,311 WEST 121 STREET,NY,V1,11,,JENCO 121 LLC,2523,0,25.0,100.92,5,215100,0,,,1,997058.0,233711.0,40.8081492,-73.9537335,6a,,New York
MN,1162,57,107.0,6.0,10023.0,20.0,256 WEST 71 STREET,NY,V1,11,C,NYC DEPARTMENT OF PARKS AND RECREATION,1674,0,16.67,100.42,5,326700,0,,,1,988585.0,222948.0,40.7786159,-73.9843476,8c,,New York
MN,2078,55,109.0,7.0,10031.0,30.0,538 WEST 147 STREET,NY,V1,11,,553 WEST 146TH STREET LLC,4992,0,50.0,99.1,5,557100,0,,,1,998426.0,240641.0,40.827168,-73.9487772,3b,,New York
MN,1077,29,104.0,3.0,10036.0,18.0,509 WEST 48 STREET,NY,V1,11,X,ACTORS HK HOUSING DEVELOPMENT FUND CORPO RATION,21924,0,100.0,200.83,3,9352350,0,,,1,986137.0,217643.0,40.7640559,-73.9931881,8c,,New York
MN,1083,10,104.0,6.0,10019.0,18.0,539 WEST 54 STREET,NY,V1,11,,539 WEST 54TH STREET LLC,12552,0,125.0,100.42,5,1914750,0,,,1,986577.0,219125.0,40.7681235,-73.9915992,8c,,New York
MN,1944,30,110.0,9.0,10026.0,28.0,2173 FREDRICK DOUGLASS BL,NY,V1,11,,2173 EQUITIES LLC,2567,0,25.67,100.0,5,337050,0,,,1,996688.0,232706.0,40.8053913,-73.9550719,6a,,New York
MN,124,9,101.0,1.0,10007.0,1.0,21 PARK PLACE,NY,V1,11,,"21 PARK PLACE, NY L.P.",1917,0,25.33,76.0,5,1246050,0,,,1,981861.0,199123.0,40.713223,-74.0086175,12b,,New York
MN,98,1,101.0,1.0,10038.0,1.0,304 PEARL STREET,NY,V1,11,,"250 SEAPORT DISTRICT, LLC",47880,0,333.0,190.42,1,9242550,0,,,1,983507.0,197296.0,40.7082086,-74.0026799,12b,,New York
MN,1395,21,108.0,4.0,10022.0,19.0,145 EAST 60 STREET,NY,V1,11,,PARKVIEW TOWER OWNER LLC,4017,0,40.0,100.42,5,1702800,0,,,1,993318.0,217226.0,40.7629069,-73.9672658,8c,,New York
MN,2067,163,109.0,7.0,10031.0,30.0,1873 AMSTERDAM AVENUE,NY,V1,11,,ASK FLORIDA VII LLC,1950,0,19.5,100.0,5,183150,0,,,1,999804.0,241636.0,40.8298967,-73.9437957,3b,,New York
