borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
SI,3595,11,502.0,50.0,10306.0,122.0,70A FREMONT AVENUE,NY,V0,11,,JOSEPH MARCHESE,2500,0,25.0,100.0,5,8340,0,,,5,953350.0,150462.0,40.5796056,-74.1112385,27b,,New York
SI,3844,6,502.0,50.0,10305.0,122.0,20 CHEROKEE STREET,NY,V0,11,,"LAROCCA, ANTHONY",1800,0,30.0,60.0,5,5280,0,,,5,960634.0,149194.0,40.5761476,-74.0850121,27d,,New York
SI,3837,5,502.0,50.0,10305.0,122.0,727 BUEL AVENUE,NY,V0,11,,"HARBEN, MICHAEL",2240,0,20.0,112.0,5,6540,0,,,5,962044.0,150138.0,40.5787423,-74.0799395,27d,,New York
SI,4767,81,503.0,50.0,10306.0,122.0,129 FOX BEACH AVENUE,NY,V0,11,C,CITY OF NEW YORK,3000,0,50.0,60.0,5,9180,0,,,5,952277.0,140821.0,40.5531391,-74.1150557,34a,,New York
SI,4768,46,503.0,50.0,10306.0,122.0,70 KISSAM AVENUE,NY,V0,11,C,CITY OF NEW YORK,4100,0,50.0,82.0,5,12300,0,,,5,953035.0,141578.0,40.5552196,-74.1123315,34a,,New York
SI,6523,26,503.0,51.0,10312.0,123.0,113 ARBUTUS AVENUE,NY,V0,11,,ARBUTUS WOODS CORP.,22477,0,154.31,160.92,5,84120,0,,,5,933098.0,133025.0,40.5316507,-74.1840127,33b,,New York
SI,808,17,502.0,50.0,10314.0,121.0,210 HOLDEN BOULEVARD,NY,V0,11,,210 HOLDEN LLC,4000,0,40.0,100.0,5,11820,0,,,5,948569.0,159305.0,40.6038599,-74.1284966,27a,,New York
SI,810,28,502.0,50.0,10314.0,121.0,98 GRAVES STREET,NY,V0,11,,"MANOR HEIGHTS ESTATES, LLC",2350,0,23.5,100.0,5,7560,0,,,5,948186.0,159026.0,40.6030925,-74.1298744,27a,,New York
SI,810,3,502.0,50.0,10314.0,121.0,99 WELLBROOK AVENUE,NY,V0,11,,"MANOR HEIGHTS ESTATES, LLC",2350,0,23.5,100.0,5,7560,0,,,5,948092.0,158967.0,40.6029302,-74.1302125,27a,,New York
SI,810,25,502.0,50.0,10314.0,121.0,92 GRAVES STREET,NY,V0,11,,"MANOR HEIGHTS ESTATES, LLC",2350,0,23.5,100.0,5,7560,0,,,5,948178.0,159096.0,40.6032846,-74.1299035,27a,,New York
