borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020
MN,1480,120,108,116,1000,2,5,10065,L016,19,4400,1,1B,F D R DRIVE,R9,,,,,,,,,,false,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,56,0,,,,,,,,,7,0,,0,0,3.5,17,0,0,,0,false,8,5,1350,1350,1350,0,0,0,,,0,7.52,0,10,1,1014800120,,116,996580,216673,40.7613852,-73.9554915,9a,,106E068,10512,,,,1,24v3,8,13,1,1,,,,,,,,,,,,1011600,10116001009
MN,1480,117,108,116,1000,2,5,10065,L016,19,4400,1,1B,F D R DRIVE,R9,,,,,,,,,,false,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,56,0,,,,,,,,,7,0,,0,0,3.5,17,0,0,,0,false,8,5,1350,1350,1350,0,0,0,,,0,7.52,0,10,1,1014800117,,116,996769,216890,40.7619805,-73.9548088,9a,,106E068,10512,,,,1,24v3,8,13,1,1,,,,,,,,,,,,1011600,10116001009
MN,1311,13,105,112.03,2002,2,4,10022,E008,18,4800,1,2B,126 EAST 57 STREET,C5-2.5,C5-2,,,,,MiD,,,,true,V1,11,0,,MRR 1326 LLC,13213,0,,,,,,,,,7,1,,0,0,115,100.42,0,0,,0,false,5,5,7230150,7230150,0,0,0,0,,,0,10,12,12,1,1013110013,,11203,992623,216387,40.7606048,-73.9697757,8c,,106E044,10505,,1013110013,10/17/2022,1,24v3,5,13,,,,,,,,,,,,,,1011203,10112032002
MN,1288,69,105,102,1007,2,4,10022,E023,18,4800,1,2B,665 5 AVENUE,C5-3,,,,,,MiD,,,,false,V1,11,0,,ROLEX REALTY COMPANY LLC,11050,0,,,,,,,,,7,0,,0,0,85.42,125,0,0,,0,true,3,5,8934750,8934750,0,0,1975,2021,,,0,10,15,15,1,1012880069,,102,991009,216200,40.7600929,-73.975602,8c,true,106E037,10503,,,,1,24v3,5,13,,,,,,,,,,,,,,1010200,10102002003
MN,1309,69,105,100,1001,2,4,10022,E008,18,4800,1,2B,407 PARK AVENUE,C5-3,,,,,,MiD,,,,false,V1,11,0,,CLOVER PARK DEVELOPMENT LLC,10975,0,,,,,,,,,7,0,,0,0,75.42,108.75,0,0,,0,true,3,5,4949100,4949100,0,0,2021,0,,,0,10,15,15,1,1013090069,,100,992160,216152,40.7599602,-73.9714473,8d,true,106E043,10505,,1013090069,08/31/2022,1,24v3,5,13,,,,,,,,,,,,,,1010000,10100001001
MN,1402,41,108,120,1000,2,4,10065,E039,19,4100,1,1A,168 EAST 68 STREET,R8B,,,,,,,,,,false,V5,11,0,X,PARK EAST SYNAGOGUE,2009,0,,,,,,,,,7,0,,0,0,20,100.42,0,0,,0,false,5,5,427950,427950,427950,2013,0,0,,,0,4,0,4,1,1014020041,,120,994466,218792,40.767204,-73.9631193,8c,,106E048,10509,,,,1,24v3,8,13,,,,,,,,,,,,,,1012000,10120001000
MN,1395,21,108,114.02,1002,2,4,10022,E039,19,4800,1,1A,145 EAST 60 STREET,C5-2,,,,,,,,,,false,V1,11,0,,PARKVIEW TOWER OWNER LLC,4017,0,,,,,,,,,7,0,,0,0,40,100.42,0,0,,0,false,5,5,1596150,1596150,0,0,0,0,,,0,10,10,10,1,1013950021,,11402,993318,217226,40.7629069,-73.9672658,8c,,106E045,10509,,,,1,24v3,8,13,,,,,,,,,,,,,,1011402,10114021002
MN,1395,26,108,114.02,1002,2,4,10022,E039,19,4800,1,1A,155 EAST 60 STREET,C5-2,,,,,,,,,,false,V1,11,0,,PARKVIEW TOWER OWNER LLC,8033,0,,,,,,,,,7,0,,0,0,80,100.42,0,0,,0,false,5,5,3578850,3578850,0,0,2014,0,,,0,10,10,10,1,1013950026,,11402,993424,217168,40.7627476,-73.9668832,8c,,106E045,10509,,,,1,24v3,8,13,,,,,,,,,,,,,,1011402,10114021002
MN,1395,24,108,114.02,1002,2,4,10022,E039,19,4800,1,1A,151 EAST 60 STREET,C5-2,,,,,,,,,,false,V1,11,0,,PARKVIEW TOWER OWNER LLC,2008,0,,,,,,,,,7,0,,0,0,20,100.42,0,0,,0,false,5,5,810450,810450,0,0,0,0,,,0,10,10,10,1,1013950024,,11402,993362,217202,40.762841,-73.967107,8c,,106E045,10509,,,,1,24v3,8,13,,,,,,,,,,,,,,1011402,10114021002
MN,1395,23,108,114.02,1002,2,4,10022,E039,19,4800,1,1A,149 EAST 60 STREET,C5-2,,,,,,,,,,false,V1,11,0,,PARKVIEW TOWER OWNER LLC,2008,0,,,,,,,,,7,0,,0,0,20,100.42,0,0,,0,false,5,5,1008000,1008000,0,0,0,0,,,0,10,10,10,1,1013950023,,11402,993344,217211,40.7628657,-73.967172,8c,,106E045,10509,,,,1,24v3,8,13,,,,,,,,,,,,,,1011402,10114021002
