borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes
MN,1273,65,105.0,4.0,10019.0,18.0,50 WEST 58 STREET,,V1,11,,BOB 57 DEVELOPMENT LLC,7532,0,75.0,100.42,5,3857400,0,,,1,990913.0,217780.0,40.7644297,-73.975947,8c,
MN,812,45,105.0,4.0,10018.0,14.0,989 AVENUE OF THE AMERICAS,,V1,11,,RPY 989 LLC,8041,0,98.75,100.0,3,3546000,0,,,1,987897.0,213111.0,40.7516162,-73.9868371,8d,
MN,1310,14,105.0,4.0,10022.0,18.0,656 LEXINGTON AVENUE,,V1,11,,660 LEXINGTON AVENUE DEVELOPMENT LLC,4410,0,60.42,73.0,3,2380500,0,,,1,992503.0,216117.0,40.7598638,-73.9702092,8d,
MN,1309,1,105.0,4.0,10022.0,18.0,405 PARK AVENUE,,V1,11,,"RAR2 - 405 PARK, LLC",9037,0,100.42,90.0,3,6626250,0,,,1,992101.0,216066.0,40.7597242,-73.9716604,8d,
MN,1273,17,105.0,4.0,10019.0,18.0,27 WEST 57 STREET,,V1,11,,29 WEST 57TH STREET OWNER LLC,4820,0,48.0,100.42,5,3092400,0,,,1,991028.0,217598.0,40.76393,-73.975532,8c,
MN,1273,16,105.0,4.0,10019.0,18.0,31 WEST 57 STREET,,V1,11,,31 WEST 57TH STREET OWNER LLC,2711,0,27.0,100.42,5,1747800,1920,,,1,990996.0,217616.0,40.7639795,-73.9756475,8c,
MN,1272,50,105.0,4.0,10019.0,18.0,16 WEST 57 STREET,,V1,11,,16 WEST 57TH STREET COMPANY LLC,5020,0,50.0,100.42,5,3241350,0,,,1,991085.0,217344.0,40.7632328,-73.9753265,8c,
MN,1273,15,105.0,4.0,10019.0,18.0,33 WEST 57 STREET,,V1,11,,VNO 33 WEST 57TH STREET LLC,2513,0,25.0,100.42,5,1620000,1939,,,1,990972.0,217629.0,40.7640152,-73.9757341,8c,
MN,1272,52,105.0,4.0,10019.0,18.0,20 WEST 57 STREET,,V1,11,,20 WEST 57TH STREET REALTY LLC,5020,0,50.0,100.42,5,3221100,0,,,1,991042.0,217368.0,40.7632987,-73.9754817,8c,
MN,1305,128,106.0,4.0,10022.0,17.0,EAST 51 STREET,,V1,11,,"569 LEXINGTON OWNER, LLC",31,0,75.0,0.42,6,20700,0,,,1,992200.0,214877.0,40.7564606,-73.9713044,8d,
