borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
BK,610,29,306.0,38.0,11231.0,76.0,452 VAN BRUNT STREET,NY,V1,11,,THE EDNA MIELES 2010 LIVING TRUST,2260,0,25.0,90.42,5,180900,0,,,3,979800.0,185196.0,40.6749958,-74.0160427,16a,,New York
BK,545,26,306.0,38.0,11231.0,76.0,336 VAN BRUNT STREET,NY,V1,11,,NY 336 VAN BRUNT LLC,1548,0,25.0,61.0,3,124200,0,,,3,980989.0,186508.0,40.6785975,-74.0117569,16a,,New York
BK,792,7,307.0,38.0,11220.0,72.0,5003 5 AVENUE,NY,V1,11,,PANTHER REALTY LLC,2500,0,25.0,100.0,5,199800,0,,,3,981413.0,174199.0,40.6448122,-74.010223,22a,,New York
BK,600,3,306.0,38.0,11231.0,76.0,173 DWIGHT STREET,NY,V1,11,,NANCO REAL ESTATE LLC,2500,0,25.0,100.0,5,85500,0,,,3,981095.0,184736.0,40.6737338,-74.0113739,16a,,New York
BK,599,31,306.0,38.0,11231.0,76.0,44 VAN DYKE STREET,NY,V1,11,,"LOCASCIO, DOMENICO",2500,0,25.0,100.0,5,85500,0,,,3,980922.0,184873.0,40.6741098,-74.0119976,16a,,New York
BK,598,3,306.0,38.0,11231.0,76.0,399 VAN BRUNT STREET,NY,V1,11,,RED HOOK BUILDING COMPANY LLC,1800,0,20.0,90.0,5,61200,0,,,3,980256.0,185473.0,40.6757564,-74.0143989,16a,,New York
BK,598,22,306.0,38.0,11231.0,76.0,81 COFFEY STREET,NY,V1,11,,40 TIFFANY CORP,6000,0,60.0,100.0,5,231300,0,,,3,980558.0,185335.0,40.6753777,-74.0133101,16a,,New York
BK,575,35,306.0,38.0,11231.0,76.0,130 DIKEMAN STREET,NY,V0,11,,130 DIKEMAN STREET LLC,2500,0,25.0,100.0,5,40560,0,,,3,980366.0,186068.0,40.6773895,-74.0140027,16a,,New York
BK,577,21,306.0,38.0,11231.0,76.0,23 WOLCOTT STREET,NY,V0,11,,"GRADY, RONALD",2000,0,20.0,100.0,5,32520,0,,,3,981257.0,185410.0,40.6755838,-74.0107902,16a,,New York
BK,574,1,306.0,38.0,11231.0,76.0,63 FERRIS STREET,NY,V1,11,,"NYM 145 WOLCOTT, LLC",80000,0,200.0,500.0,3,2048400,0,,,3,980015.0,186471.0,40.6784955,-74.0152684,16a,,New York
