borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,state,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,x,y,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020
MN,1480,117,108.0,116.0,1000.0,2.0,5.0,10065.0,L016,19.0,4400.0,1.0,1B,F D R DRIVE,,R9,,,,,,,,,,False,V1,11,0,X,THE ROCKEFELLER UNIVERSITY,56,0,,,,,,,,,7,0,,0,0,3.5,17.0,0,0,,0,False,8,5,1350,1350,1350,0,0,0,,,0.0,7.52,0.0,10.0,1,1014800117,,116.0,996769.0,216890.0,40.7619805,-73.9548088,9a,,106E068,10512.0,,,,1,24v3,8.0,13.0,1.0,1.0,,,,,,,,,,,,1011600.0,10116001009.0
MN,1311,13,105.0,112.03,2002.0,2.0,4.0,10022.0,E008,18.0,4800.0,1.0,2B,126 EAST 57 STREET,,C5-2.5,C5-2,,,,,MiD,,,,True,V1,11,0,,MRR 1326 LLC,13213,0,,,,,,,,,7,1,,0,0,115.0,100.42,0,0,,0,False,5,5,7230150,7230150,0,0,0,0,,,0.0,10.0,12.0,12.0,1,1013110013,,11203.0,992623.0,216387.0,40.7606048,-73.9697757,8c,,106E044,10505.0,,1013110013.0,10/17/2022,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011203.0,10112032002.0
MN,1288,69,105.0,102.0,1007.0,2.0,4.0,10022.0,E023,18.0,4800.0,1.0,2B,665 5 AVENUE,,C5-3,,,,,,MiD,,,,False,V1,11,0,,ROLEX REALTY COMPANY LLC,11050,0,,,,,,,,,7,0,,0,0,85.42,125.0,0,0,,0,True,3,5,8934750,8934750,0,0,1975,2021,,,0.0,10.0,15.0,15.0,1,1012880069,,102.0,991009.0,216200.0,40.7600929,-73.975602,8c,True,106E037,10503.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1010200.0,10102002003.0
MN,1309,69,105.0,100.0,1001.0,2.0,4.0,10022.0,E008,18.0,4800.0,1.0,2B,407 PARK AVENUE,,C5-3,,,,,,MiD,,,,False,V1,11,0,,CLOVER PARK DEVELOPMENT LLC,10975,0,,,,,,,,,7,0,,0,0,75.42,108.75,0,0,,0,True,3,5,4949100,4949100,0,0,2021,0,,,0.0,10.0,15.0,15.0,1,1013090069,,100.0,992160.0,216152.0,40.7599602,-73.9714473,8d,True,106E043,10505.0,,1013090069.0,08/31/2022,1,24v3,5.0,13.0,,,,,,,,,,,,,,1010000.0,10100001001.0
MN,1402,41,108.0,120.0,1000.0,2.0,4.0,10065.0,E039,19.0,4100.0,1.0,1A,168 EAST 68 STREET,,R8B,,,,,,,,,,False,V5,11,0,X,PARK EAST SYNAGOGUE,2009,0,,,,,,,,,7,0,,0,0,20.0,100.42,0,0,,0,False,5,5,427950,427950,427950,2013,0,0,,,0.0,4.0,0.0,4.0,1,1014020041,,120.0,994466.0,218792.0,40.767204,-73.9631193,8c,,106E048,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1012000.0,10120001000.0
MN,1395,21,108.0,114.02,1002.0,2.0,4.0,10022.0,E039,19.0,4800.0,1.0,1A,145 EAST 60 STREET,,C5-2,,,,,,,,,,False,V1,11,0,,PARKVIEW TOWER OWNER LLC,4017,0,,,,,,,,,7,0,,0,0,40.0,100.42,0,0,,0,False,5,5,1596150,1596150,0,0,0,0,,,0.0,10.0,10.0,10.0,1,1013950021,,11402.0,993318.0,217226.0,40.7629069,-73.9672658,8c,,106E045,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011402.0,10114021002.0
MN,1395,26,108.0,114.02,1002.0,2.0,4.0,10022.0,E039,19.0,4800.0,1.0,1A,155 EAST 60 STREET,,C5-2,,,,,,,,,,False,V1,11,0,,PARKVIEW TOWER OWNER LLC,8033,0,,,,,,,,,7,0,,0,0,80.0,100.42,0,0,,0,False,5,5,3578850,3578850,0,0,2014,0,,,0.0,10.0,10.0,10.0,1,1013950026,,11402.0,993424.0,217168.0,40.7627476,-73.9668832,8c,,106E045,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011402.0,10114021002.0
MN,1395,24,108.0,114.02,1002.0,2.0,4.0,10022.0,E039,19.0,4800.0,1.0,1A,151 EAST 60 STREET,,C5-2,,,,,,,,,,False,V1,11,0,,PARKVIEW TOWER OWNER LLC,2008,0,,,,,,,,,7,0,,0,0,20.0,100.42,0,0,,0,False,5,5,810450,810450,0,0,0,0,,,0.0,10.0,10.0,10.0,1,1013950024,,11402.0,993362.0,217202.0,40.762841,-73.967107,8c,,106E045,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011402.0,10114021002.0
MN,1395,23,108.0,114.02,1002.0,2.0,4.0,10022.0,E039,19.0,4800.0,1.0,1A,149 EAST 60 STREET,,C5-2,,,,,,,,,,False,V1,11,0,,PARKVIEW TOWER OWNER LLC,2008,0,,,,,,,,,7,0,,0,0,20.0,100.42,0,0,,0,False,5,5,1008000,1008000,0,0,0,0,,,0.0,10.0,10.0,10.0,1,1013950023,,11402.0,993344.0,217211.0,40.7628657,-73.967172,8c,,106E045,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011402.0,10114021002.0
MN,1395,25,108.0,114.02,1002.0,2.0,4.0,10022.0,E039,19.0,4800.0,1.0,1A,153 EAST 60 STREET,,C5-2,,,,,,,,,,False,V1,11,0,,PARKVIEW TOWER OWNER LLC,2008,0,,,,,,,,,7,0,,0,0,20.0,100.42,0,0,,0,False,5,5,1080000,1080000,0,0,0,0,,,0.0,10.0,10.0,10.0,1,1013950025,,11402.0,993380.0,217192.0,40.7628136,-73.967042,8c,,106E045,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011402.0,10114021002.0
